#   Bstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Bstar_f0p1   Bstar_f0p1_Eff
1000    2.175e-03   0.214648 
1100 	1.319e-03   0.207887 
1200 	8.166e-04   0.201127 
1300 	5.173e-04   0.194366 
1400 	3.429e-04   0.187605 
1500 	2.278e-04   0.180844 
1600 	1.535e-04   0.174389 
1700 	1.065e-04   0.167935 
1800 	7.351e-05   0.16148  
1900 	5.189e-05   0.155025 
2000 	3.674e-05   0.14857  
2100 	2.670e-05   0.142951 
2200 	1.924e-05   0.137332 
2300 	1.406e-05   0.131713 
2400 	1.034e-05   0.126094 
2500 	7.595e-06   0.120475 
2600 	5.615e-06   0.117557 
2700 	4.180e-06   0.114639 
2800 	3.129e-06   0.111722 
2900 	2.336e-06   0.108804 
3000 	1.768e-06   0.105886 
3100 	1.347e-06   0.103753 
3200 	1.007e-06   0.101621 
3300 	7.663e-07   0.099488 
3400 	5.843e-07   0.0973552
3500 	4.454e-07   0.0952225
3600 	3.411e-07   0.0940586
3700 	2.583e-07   0.0928947
3800 	1.972e-07   0.0917307
3900 	1.509e-07   0.0905668
4000 	1.155e-07   0.0894029
4100 	8.864e-08   0.0881268
4200 	6.720e-08   0.0868508
4300 	5.165e-08   0.0855747
4400 	3.950e-08   0.0842986
4500 	3.031e-08   0.0830226
4600 	2.275e-08   0.0837362
4700 	1.746e-08   0.0844498
4800 	1.345e-08   0.0851633
4900 	1.011e-08   0.0858769
5000 	7.703e-09   0.0865905
