#   Qstar cross-section for 13 TeV for f = 0.2
#   (GeV)    (pb)
Mass   Qstar_f0p5   Qstar_f0p5_Eff
1000 6.639e-01     0.397353
1100 4.269e-01     0.402683
1200 2.888e-01     0.408012
1300 1.947e-01     0.413342
1400 1.356e-01     0.418672
1500 9.700e-02     0.424002
1600 6.970e-02     0.429332
1700 5.095e-02     0.434662
1800 3.808e-02     0.439991
1900 2.833e-02     0.445321
2000 2.153e-02     0.450651
2100 1.628e-02     0.451855
2200 1.234e-02     0.45306 
2300 9.542e-03     0.454264
2400 7.398e-03     0.455468
2500 5.779e-03     0.456673
2600 4.491e-03     0.457877
2700 3.534e-03     0.459081
2800 2.783e-03     0.460286
2900 2.214e-03     0.46149 
3000 1.764e-03     0.462695
3100 1.388e-03     0.462947
3200 1.120e-03     0.4632  
3300 8.970e-04     0.463453
3400 7.071e-04     0.463706
3500 5.739e-04     0.463958
3600 4.573e-04     0.464211
3700 3.708e-04     0.464464
3800 2.976e-04     0.464717
3900 2.406e-04     0.46497 
4000 1.945e-04     0.465222
4100 1.563e-04     0.465529
4200 1.268e-04     0.465836
4300 1.021e-04     0.466143
4400 8.215e-05     0.46645 
4500 6.647e-05     0.466757
4600 5.349e-05     0.467064
4700 4.343e-05     0.467371
4800 3.515e-05     0.467678
4900 2.863e-05     0.467985
5000 2.259e-05     0.468292
