#   Qstar cross-section for 13 TeV for f = 0.6
#   (GeV)    (pb)
Mass   Qstar_f1p0   Qstar_f1p0_Eff
1000 5.885e+00    0.397222
1100 3.825e+00    0.402547
1200 2.559e+00    0.407871
1300 1.738e+00    0.413196
1400 1.225e+00    0.41852 
1500 8.697e-01    0.423845
1600 6.238e-01    0.429169
1700 4.568e-01    0.434494
1800 3.357e-01    0.439818
1900 2.521e-01    0.445143
2000 1.898e-01    0.450467
2100 1.437e-01    0.45171 
2200 1.095e-01    0.452952
2300 8.543e-02    0.454195
2400 6.586e-02    0.455437
2500 5.122e-02    0.45668 
2600 3.982e-02    0.457922
2700 3.130e-02    0.459165
2800 2.499e-02    0.460407
2900 1.956e-02    0.46165 
3000 1.550e-02    0.462892
3100 1.261e-02    0.462899
3200 9.986e-03    0.462905
3300 7.940e-03    0.462911
3400 6.315e-03    0.462918
3500 5.108e-03    0.462924
3600 4.122e-03    0.462931
3700 3.326e-03    0.462937
3800 2.677e-03    0.462943
3900 2.158e-03    0.46295 
4000 1.730e-03    0.462956
4100 1.409e-03    0.4632  
4200 1.120e-03    0.463444
4300 9.219e-04    0.463687
4400 7.393e-04    0.463931
4500 5.939e-04    0.464175
4600 4.837e-04    0.464419
4700 3.926e-04    0.464662
4800 3.166e-04    0.464906
4900 2.585e-04    0.46515 
5000 2.086e-04    0.465394
