#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f0p1   Qstar_f0p1_Eff
1000 2.635e-02    0.396028
1100 1.709e-02    0.401552
1200 1.143e-02    0.407076
1300 7.819e-03    0.412599
1400 5.476e-03    0.418123
1500 3.839e-03    0.423647
1600 2.779e-03    0.42917 
1700 2.062e-03    0.434694
1800 1.522e-03    0.440217
1900 1.124e-03    0.445741
2000 8.496e-04    0.451265
2100 6.466e-04    0.452326
2200 4.945e-04    0.453387
2300 3.790e-04    0.454448
2400 2.953e-04    0.45551 
2500 2.339e-04    0.456571
2600 1.808e-04    0.457632
2700 1.424e-04    0.458693
2800 1.120e-04    0.459754
2900 8.834e-05    0.460816
3000 7.057e-05    0.461877
3100 5.600e-05    0.461852
3200 4.475e-05    0.461826
3300 3.550e-05    0.461801
3400 2.861e-05    0.461776
