#   Qstar cross-section for 13 TeV for f = 0.4
#   (GeV)    (pb)
Mass   Qstar_f0p5   Qstar_f0p5_Eff
1000 2.620e+00    0.397353
1100 1.693e+00    0.402683
1200 1.145e+00    0.408012
1300 7.827e-01    0.413342
1400 5.403e-01    0.418672
1500 3.810e-01    0.424002
1600 2.779e-01    0.429332
1700 2.037e-01    0.434662
1800 1.507e-01    0.439991
1900 1.122e-01    0.445321
2000 8.484e-02    0.450651
2100 6.493e-02    0.451855
2200 4.930e-02    0.45306 
2300 3.778e-02    0.454264
2400 2.942e-02    0.455468
2500 2.286e-02    0.456673
2600 1.791e-02    0.457877
2700 1.425e-02    0.459081
2800 1.116e-02    0.460286
2900 8.801e-03    0.46149 
3000 6.993e-03    0.462695
3100 5.556e-03    0.462947
3200 4.401e-03    0.4632  
3300 3.517e-03    0.463453
3400 2.837e-03    0.463706
3500 2.296e-03    0.463958
3600 1.841e-03    0.464211
3700 1.475e-03    0.464464
3800 1.196e-03    0.464717
3900 9.596e-04    0.46497 
4000 7.733e-04    0.465222
4100 6.208e-04    0.465529
4200 5.032e-04    0.465836
4300 4.069e-04    0.466143
4400 3.287e-04    0.46645 
4500 2.677e-04    0.466757
4600 2.129e-04    0.467064
4700 1.726e-04    0.467371
4800 1.397e-04    0.467678
4900 1.139e-04    0.467985
5000 9.133e-05    0.468292
