#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f0p1   Qstar_f0p1_Eff
1000 1.053e-01    0.396028
1100 6.806e-02    0.401552
1200 4.564e-02    0.407076
1300 3.102e-02    0.412599
1400 2.174e-02    0.418123
1500 1.547e-02    0.423647
1600 1.123e-02    0.42917 
1700 8.197e-03    0.434694
1800 6.064e-03    0.440217
1900 4.515e-03    0.445741
2000 3.379e-03    0.451265
2100 2.613e-03    0.452326
2200 1.962e-03    0.453387
2300 1.526e-03    0.454448
2400 1.171e-03    0.45551 
2500 9.208e-04    0.456571
2600 7.177e-04    0.457632
2700 5.679e-04    0.458693
2800 4.484e-04    0.459754
2900 3.520e-04    0.460816
3000 2.829e-04    0.461877
3100 2.253e-04    0.461852
3200 1.783e-04    0.461826
3300 1.426e-04    0.461801
3400 1.147e-04    0.461776
