#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass Qstar_f1p0   Qstar_f1p0_Eff
1000 1.635e+01    0.468937
1100 1.068e+01    0.477151
1200 7.036e+00    0.485365
1300 4.827e+00    0.493579
1400 3.363e+00    0.501794
1500 2.373e+00    0.510008
1600 1.709e+00    0.518222
1700 1.243e+00    0.526436
1800 9.292e-01    0.53465 
1900 6.885e-01    0.542864
2000 5.244e-01    0.551078
2100 3.951e-01    0.553472
2200 3.010e-01    0.555866
2300 2.322e-01    0.55826 
2400 1.805e-01    0.560654
2500 1.402e-01    0.563048
2600 1.099e-01    0.565441
2700 8.650e-02    0.567835
2800 6.787e-02    0.570229
2900 5.372e-02    0.572623
3000 4.273e-02    0.575017
3100 3.391e-02    0.575693
3200 2.720e-02    0.576369
3300 2.186e-02    0.577045
3400 1.744e-02    0.577722
3500 1.417e-02    0.578398
3600 1.126e-02    0.579074
3700 9.062e-03    0.57975 
3800 7.276e-03    0.580427
3900 5.911e-03    0.581103
4000 4.814e-03    0.581779
4100 3.870e-03    0.582304
4200 3.156e-03    0.582829
4300 2.554e-03    0.583354
4400 2.057e-03    0.583879
4500 1.656e-03    0.584404
4600 1.354e-03    0.584929
4700 1.089e-03    0.585454
4800 8.813e-04    0.585979
4900 7.214e-04    0.586504
5000 5.836e-04    0.587029
5100 4.734e-04    0.585837
5200 3.807e-04    0.584645
5300 3.108e-04    0.583452
5400 2.517e-04    0.58226 
5500 2.051e-04    0.581068
5600 1.650e-04    0.579876
5700 1.339e-04 	  0.578683
5800 1.072e-04 	  0.577491
5900 8.685e-05 	  0.576299
6000 7.085e-05 	  0.575106
