#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f0p1   Qstar_f0p1_Eff
1000 6.565e-03    0.396028
1100 4.275e-03    0.401552
1200 2.837e-03    0.407076
1300 1.957e-03    0.412599
1400 1.378e-03    0.418123
1500 9.686e-04    0.423647
1600 6.970e-04    0.42917 
1700 5.071e-04    0.434694
1800 3.802e-04    0.440217
1900 2.828e-04    0.445741
2000 2.145e-04    0.451265
2100 1.623e-04    0.452326
2200 1.242e-04    0.453387
2300 9.612e-05    0.454448
2400 7.351e-05    0.45551 
2500 5.770e-05    0.456571
2600 4.509e-05    0.457632
2700 3.541e-05    0.458693
2800 2.801e-05    0.459754
2900 2.213e-05    0.460816
3000 1.763e-05    0.461877
3100 1.401e-05    0.461852
3200 1.116e-05    0.461826
3300 8.898e-06    0.461801
3400 7.147e-06    0.461776
