#   Qstar cross-section for 13 TeV for f = 0.7
#   (GeV)    (pb)
Mass   Qstar_f1p0   Qstar_f1p0_Eff
1000 7.946e+00     0.397222
1100 5.163e+00     0.402547
1200 3.483e+00     0.407871
1300 2.394e+00     0.413196
1400 1.656e+00     0.41852 
1500 1.174e+00     0.423845
1600 8.550e-01     0.429169
1700 6.142e-01     0.434494
1800 4.576e-01     0.439818
1900 3.419e-01     0.445143
2000 2.583e-01     0.450467
2100 1.961e-01     0.45171 
2200 1.482e-01     0.452952
2300 1.167e-01     0.454195
2400 8.892e-02     0.455437
2500 6.964e-02     0.45668 
2600 5.433e-02     0.457922
2700 4.290e-02     0.459165
2800 3.364e-02     0.460407
2900 2.680e-02     0.46165 
3000 2.125e-02     0.462892
3100 1.693e-02     0.462899
3200 1.358e-02     0.462905
3300 1.071e-02     0.462911
3400 8.698e-03     0.462918
3500 6.930e-03     0.462924
3600 5.574e-03     0.462931
3700 4.434e-03     0.462937
3800 3.635e-03     0.462943
3900 2.918e-03     0.46295 
4000 2.343e-03     0.462956
4100 1.893e-03     0.4632  
4200 1.542e-03     0.463444
4300 1.249e-03     0.463687
4400 1.009e-03     0.463931
4500 8.111e-04     0.464175
4600 6.582e-04     0.464419
4700 5.356e-04     0.464662
4800 4.311e-04     0.464906
4900 3.499e-04     0.46515 
5000 2.817e-04     0.465394
