#   Bstar cross-section for 13 TeV for f = 0.5
#   (GeV)    (pb)
Mass Bstar_f0p5 Bstar_f0p5_Eff
1000 1.965e-02   0.291322
1100 1.184e-02   0.289524
1200 7.346e-03   0.287726
1300 4.703e-03   0.285928
1400 3.062e-03   0.28413 
1500 2.034e-03   0.282332
1600 1.381e-03   0.278623
1700 9.562e-04   0.274915
1800 6.577e-04   0.271206
1900 4.651e-04   0.267497
2000 3.306e-04   0.263789
2100 2.382e-04   0.259311
2200 1.731e-04   0.254834
2300 1.265e-04   0.250356
2400 9.216e-05   0.245878
2500 6.788e-05   0.241401
2600 5.019e-05   0.238117
2700 3.750e-05   0.234833
2800 2.827e-05   0.23155 
2900 2.113e-05   0.228266
3000 1.615e-05   0.224982
3100 1.208e-05   0.223929
3200 9.101e-06   0.222875
3300 6.854e-06   0.221822
3400 5.290e-06   0.220769
3500 4.031e-06   0.219716
3600 3.053e-06   0.218153
3700 2.334e-06   0.216591
3800 1.787e-06   0.215028
3900 1.354e-06   0.213466
4000 1.042e-06   0.211903
4100 7.961e-07   0.211339
4200 6.107e-07   0.210776
4300 4.636e-07   0.210212
4400 3.535e-07   0.209648
4500 2.731e-07   0.209084
4600 2.084e-07   0.209754
4700 1.580e-07   0.210424
4800 1.209e-07   0.211094
4900 9.312e-08   0.211764
5000 7.097e-08   0.212434
