#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f1p0   Qstar_f1p0_Eff
1000 1.635e+01    0.397222
1100 1.068e+01    0.402547
1200 7.036e+00    0.407871
1300 4.827e+00    0.413196
1400 3.363e+00    0.41852 
1500 2.373e+00    0.423845
1600 1.709e+00    0.429169
1700 1.243e+00    0.434494
1800 9.292e-01    0.439818
1900 6.885e-01    0.445143
2000 5.244e-01    0.450467
2100 3.951e-01    0.45171 
2200 3.010e-01    0.452952
2300 2.322e-01    0.454195
2400 1.805e-01    0.455437
2500 1.402e-01    0.45668 
2600 1.099e-01    0.457922
2700 8.650e-02    0.459165
2800 6.787e-02    0.460407
2900 5.372e-02    0.46165 
3000 4.273e-02    0.462892
3100 3.391e-02    0.462899
3200 2.720e-02    0.462905
3300 2.186e-02    0.462911
3400 1.744e-02    0.462918
3500 1.417e-02    0.462924
3600 1.126e-02    0.462931
3700 9.062e-03    0.462937
3800 7.276e-03    0.462943
3900 5.911e-03    0.46295 
4000 4.814e-03    0.462956
4100 3.870e-03    0.4632  
4200 3.156e-03    0.463444
4300 2.554e-03    0.463687
4400 2.057e-03    0.463931
4500 1.656e-03    0.464175
4600 1.354e-03    0.464419
4700 1.089e-03    0.464662
4800 8.813e-04    0.464906
4900 7.214e-04    0.46515 
5000 5.836e-04    0.465394
5100 4.734e-04    0.464291
5200 3.807e-04    0.463189
5300 3.108e-04    0.462086
5400 2.517e-04    0.460984
5500 2.051e-04    0.459881
5600 1.650e-04    0.458779
5700 1.339e-04 	  0.457676
5800 1.072e-04 	  0.456574
5900 8.685e-05 	  0.455471
6000 7.085e-05 	  0.454369
7000 8.66e-06     0.441100
