#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass Qstar_f1p0   Qstar_f1p0_Eff
1000 1.635e+01    0.505687
1100 1.068e+01    0.515267
1200 7.036e+00    0.524847
1300 4.827e+00    0.534426
1400 3.363e+00    0.544006
1500 2.373e+00    0.553585
1600 1.709e+00    0.563165
1700 1.243e+00    0.572745
1800 9.292e-01    0.582324
1900 6.885e-01    0.591904
2000 5.244e-01    0.601484
2100 3.951e-01    0.604368
2200 3.010e-01    0.607253
2300 2.322e-01    0.610138
2400 1.805e-01    0.613022
2500 1.402e-01    0.615907
2600 1.099e-01    0.618792
2700 8.650e-02    0.621676
2800 6.787e-02    0.624561
2900 5.372e-02    0.627446
3000 4.273e-02    0.63033 
3100 3.391e-02    0.631073
3200 2.720e-02    0.631816
3300 2.186e-02    0.63256 
3400 1.744e-02    0.633303
3500 1.417e-02    0.634046
3600 1.126e-02    0.634789
3700 9.062e-03    0.635532
3800 7.276e-03    0.636275
3900 5.911e-03    0.637018
4000 4.814e-03    0.637761
4100 3.870e-03    0.638564
4200 3.156e-03    0.639366
4300 2.554e-03    0.640168
4400 2.057e-03    0.64097 
4500 1.656e-03    0.641772
4600 1.354e-03    0.642575
4700 1.089e-03    0.643377
4800 8.813e-04    0.644179
4900 7.214e-04    0.644981
5000 5.836e-04    0.645784
5100 4.734e-04    0.644662
5200 3.807e-04    0.643541
5300 3.108e-04    0.64242 
5400 2.517e-04    0.641299
5500 2.051e-04    0.640178
5600 1.650e-04    0.639056
5700 1.339e-04 	  0.637935
5800 1.072e-04 	  0.636814
5900 8.685e-05 	  0.635693
6000 7.085e-05 	  0.634572
