#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f0p1   Qstar_f0p1_Eff
1000 5.971e-02    0.396028
1100 3.826e-02    0.401552
1200 2.573e-02    0.407076
1300 1.758e-02    0.412599
1400 1.230e-02    0.418123
1500 8.724e-03    0.423647
1600 6.349e-03    0.42917 
1700 4.619e-03    0.434694
1800 3.395e-03    0.440217
1900 2.551e-03    0.445741
2000 1.918e-03    0.451265
2100 1.449e-03    0.452326
2200 1.115e-03    0.453387
2300 8.516e-04    0.454448
2400 6.648e-04    0.45551 
2500 5.165e-04    0.456571
2600 4.073e-04    0.457632
2700 3.174e-04    0.458693
2800 2.500e-04    0.459754
2900 1.996e-04    0.460816
3000 1.583e-04    0.461877
3100 1.251e-04    0.461852
3200 9.952e-05    0.461826
3300 8.103e-05    0.461801
3400 6.460e-05    0.461776
