#   Qstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Qstar_f0p5   Qstar_f0p5_Eff
1000 4.137e+00    0.397353
1100 2.642e+00    0.402683
1200 1.768e+00    0.408012
1300 1.217e+00    0.413342
1400 8.445e-01    0.418672
1500 6.012e-01    0.424002
1600 4.345e-01    0.429332
1700 3.179e-01    0.434662
1800 2.342e-01    0.439991
1900 1.765e-01    0.445321
2000 1.328e-01    0.450651
2100 1.005e-01    0.451855
2200 7.712e-02    0.45306 
2300 5.922e-02    0.454264
2400 4.583e-02    0.455468
2500 3.601e-02    0.456673
2600 2.799e-02    0.457877
2700 2.206e-02    0.459081
2800 1.746e-02    0.460286
2900 1.378e-02    0.46149 
3000 1.096e-02    0.462695
3100 8.642e-03    0.462947
3200 7.002e-03    0.4632  
3300 5.531e-03    0.463453
3400 4.407e-03    0.463706
3500 3.554e-03    0.463958
3600 2.860e-03    0.464211
3700 2.302e-03    0.464464
3800 1.851e-03    0.464717
3900 1.488e-03    0.46497 
4000 1.211e-03    0.465222
4100 9.753e-04    0.465529
4200 7.847e-04    0.465836
4300 6.374e-04    0.466143
4400 5.156e-04    0.46645 
4500 4.187e-04    0.466757
4600 3.360e-04    0.467064
4700 2.728e-04    0.467371
4800 2.189e-04    0.467678
4900 1.770e-04    0.467985
5000 1.437e-04    0.468292
5100 1.164e-04    0.467277
5200 9.260e-05    0.466261
5300 7.580e-05    0.465246
5400 6.021e-05    0.46423 
5500 4.838e-05    0.463214
6000 1.620e-05    0.458136
7000 1.672e-06    0.433287
