*************************************************************************
*************************************************************************

Mass    Eff
500    0.184426
600    0.205806
700    0.227185
800    0.248564
900    0.269943
1000    0.291322
1100    0.289524
1200    0.287726
1300    0.285928
1400    0.28413
1500    0.282332
1600    0.278623
1700    0.274915
1800    0.271206
1900    0.267497
2000    0.263789
2100    0.259311
2200    0.254834
2300    0.250356
2400    0.245878
2500    0.241401
2600    0.238117
2700    0.234833
2800    0.23155
2900    0.228266
3000    0.224982
3100    0.223929
3200    0.222875
3300    0.221822
3400    0.220769
3500    0.219716
3600    0.218153
3700    0.216591
3800    0.215028
3900    0.213466
4000    0.211903
4100    0.211339
4200    0.210776
4300    0.210212
4400    0.209648
4500    0.209084
4600    0.209754
4700    0.210424
4800    0.211094
4900    0.211764
5000    0.212434
