*************************************************************************
*************************************************************************

Mass    Eff
1000    0.397353
1100    0.402683
1200    0.408012
1300    0.413342
1400    0.418672
1500    0.424002
1600    0.429332
1700    0.434662
1800    0.439991
1900    0.445321
2000    0.450651
2100    0.451855
2200    0.45306
2300    0.454264
2400    0.455468
2500    0.456673
2600    0.457877
2700    0.459081
2800    0.460286
2900    0.46149
3000    0.462695
3100    0.462947
3200    0.4632
3300    0.463453
3400    0.463706
3500    0.463958
3600    0.464211
3700    0.464464
3800    0.464717
3900    0.46497
4000    0.465222
4100    0.465529
4200    0.465836
4300    0.466143
4400    0.46645
4500    0.466757
4600    0.467064
4700    0.467371
4800    0.467678
4900    0.467985
5000    0.468292
5100    0.467277
5200    0.466261
5300    0.465246
5400    0.46423
5500    0.463214
5600    0.462199
5700    0.461183
5800    0.460168
5900    0.459152
6000    0.458136
6100    0.455375
6200    0.452614
6300    0.449853
6400    0.447092
6500    0.444331
6600    0.44157
6700    0.438809
6800    0.436048
6900    0.433287
7000    0.430526

*************************************************************************

