*************************************************************************
*************************************************************************

Mass    Eff
1000    0.396028
1100    0.401552
1200    0.407076
1300    0.412599
1400    0.418123
1500    0.423647
1600    0.42917
1700    0.434694
1800    0.440217
1900    0.445741
2000    0.451265
2100    0.452326
2200    0.453387
2300    0.454448
2400    0.45551
2500    0.456571
2600    0.457632
2700    0.458693
2800    0.459754
2900    0.460816
3000    0.461877
3100    0.461852
3200    0.461826
3300    0.461801
3400    0.461776
3500    0.461751
3600    0.461726
3700    0.461701
3800    0.461675
3900    0.46165
4000    0.461625
4100    0.461944
4200    0.462262
4300    0.462581
4400    0.4629
4500    0.463218
4600    0.463537
4700    0.463856
4800    0.464175
4900    0.464493
5000    0.464812
5100    0.464036
5200    0.46326
5300    0.462484
5400    0.461708
5500    0.460932
5600    0.460156
5700    0.45938
5800    0.458604
5900    0.457828
6000    0.457052
6100    0.454394
6200    0.451736
6300    0.449078
6400    0.44642
6500    0.443762
6600    0.441104
6700    0.438446
6800    0.435788
6900    0.43313
7000    0.430472

*************************************************************************

