*************************************************************************
*************************************************************************

Mass    Eff
1000    0.468937
1100    0.477151
1200    0.485365
1300    0.493579
1400    0.501794
1500    0.510008
1600    0.518222
1700    0.526436
1800    0.53465
1900    0.542864
2000    0.551078
2100    0.553472
2200    0.555866
2300    0.55826
2400    0.560654
2500    0.563048
2600    0.565441
2700    0.567835
2800    0.570229
2900    0.572623
3000    0.575017
3100    0.575693
3200    0.576369
3300    0.577045
3400    0.577722
3500    0.578398
3600    0.579074
3700    0.57975
3800    0.580427
3900    0.581103
4000    0.581779
4100    0.582304
4200    0.582829
4300    0.583354
4400    0.583879
4500    0.584404
4600    0.584929
4700    0.585454
4800    0.585979
4900    0.586504
5000    0.587029
5100    0.585837
5200    0.584645
5300    0.583452
5400    0.58226
5500    0.581068
5600    0.579876
5700    0.578683
5800    0.577491
5900    0.576299
6000    0.575106
6100    0.573364
6200    0.571622
6300    0.56988
6400    0.568138
6500    0.566395
6600    0.564653
6700    0.562911
6800    0.561169
6900    0.559427
7000    0.557684
7100    0.556356
7200    0.555028
7300    0.553699
7400    0.552371
7500    0.551043
7600    0.549714
7700    0.548386
7800    0.547058
7900    0.545729
6.95285e-310    0.544401

*************************************************************************

