*************************************************************************
for DEta_Opti/ ===>>>>> DEta_1.0
*************************************************************************

Mass    Eff
2800    0.628781
2900    0.630729
3000    0.632677
3100    0.63278
3200    0.632884
3300    0.632987
3400    0.633091
3500    0.633194
3600    0.633298
3700    0.633401
3800    0.633505
3900    0.633608
4000    0.633712
4100    0.633927
4200    0.634142
4300    0.634357
4400    0.634572
4500    0.634787
4600    0.635002
4700    0.635217
4800    0.635432
4900    0.635647
5000    0.635862
5100    0.634482
5200    0.633102
5300    0.631722
5400    0.630342
5500    0.628962
5600    0.627582
5700    0.626202
5800    0.624822
5900    0.623442
6000    0.622062
6100    0.619446
6200    0.616831
6300    0.614216
6400    0.611601
6500    0.608985
6600    0.60637
6700    0.603755
6800    0.601139
6900    0.598524
7000    0.595909
7100    0.594528
7200    0.593147
7300    0.591767
7400    0.590386
7500    0.589005
7600    0.587625
7700    0.586244
7800    0.584863
7900    0.583482
8000    0.582102
8100    0.584173
8200    0.586245
8300    0.588317
8400    0.590389
8500    0.592461
8600    0.594532
8700    0.596604
8800    0.598676
8900    0.600748
9000    0.602819

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_2.2
*************************************************************************

Mass    Eff
500    0.261982
600    0.318542
700    0.375101
800    0.43166
900    0.48822
1000    0.544779
1100    0.554123
1200    0.563467
1300    0.572811
1400    0.582155
1500    0.591499
1600    0.600843
1700    0.610187
1800    0.619531
1900    0.628875
2000    0.638219
2100    0.640383
2200    0.642547
2300    0.644712
2400    0.646876
2500    0.64904
2600    0.651204
2700    0.653368
2800    0.655532
2900    0.657696
3000    0.65986
3100    0.660194
3200    0.660527
3300    0.66086
3400    0.661193
3500    0.661527
3600    0.66186
3700    0.662193
3800    0.662526
3900    0.662859
4000    0.663193
4100    0.663404
4200    0.663616
4300    0.663827
4400    0.664038
4500    0.66425
4600    0.664461
4700    0.664673
4800    0.664884
4900    0.665096
5000    0.665307
5100    0.663965
5200    0.662622
5300    0.66128
5400    0.659937
5500    0.658595
5600    0.657252
5700    0.65591
5800    0.654568
5900    0.653225
6000    0.651883
6100    0.648989
6200    0.646096
6300    0.643202
6400    0.640309
6500    0.637415
6600    0.634522
6700    0.631629
6800    0.628735
6900    0.625842
7000    0.622948
7100    0.621695
7200    0.620443
7300    0.61919
7400    0.617937
7500    0.616684
7600    0.615431
7700    0.614178
7800    0.612926
7900    0.611673
8000    0.61042
8100    0.612438
8200    0.614456
8300    0.616473
8400    0.618491
8500    0.620509
8600    0.622526
8700    0.624544
8800    0.626562
8900    0.62858
9000    0.630597

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> DEta_2.5
*************************************************************************

Mass    Eff
500    0.264204
600    0.324001
700    0.383797
800    0.443594
900    0.50339
1000    0.563187
1100    0.573591
1200    0.583995
1300    0.594398
1400    0.604802
1500    0.615206
1600    0.62561
1700    0.636014
1800    0.646417
1900    0.656821
2000    0.667225
2100    0.669759
2200    0.672292
2300    0.674826
2400    0.677359
2500    0.679893
2600    0.682427
2700    0.68496
2800    0.687494
2900    0.690027
3000    0.692561
3100    0.692847
3200    0.693133
3300    0.69342
3400    0.693706
3500    0.693992
3600    0.694279
3700    0.694565
3800    0.694851
3900    0.695138
4000    0.695424
4100    0.695862
4200    0.6963
4300    0.696737
4400    0.697175
4500    0.697613
4600    0.698051
4700    0.698489
4800    0.698927
4900    0.699365
5000    0.699802
5100    0.69844
5200    0.697078
5300    0.695716
5400    0.694354
5500    0.692992
5600    0.69163
5700    0.690268
5800    0.688906
5900    0.687544
6000    0.686181
6100    0.683316
6200    0.68045
6300    0.677584
6400    0.674719
6500    0.671853
6600    0.668987
6700    0.666122
6800    0.663256
6900    0.66039
7000    0.657525
7100    0.655981
7200    0.654438
7300    0.652894
7400    0.65135
7500    0.649807
7600    0.648263
7700    0.64672
7800    0.645176
7900    0.643633
8000    0.642089
8100    0.64412
8200    0.64615
8300    0.648181
8400    0.650211
8500    0.652242
8600    0.654272
8700    0.656303
8800    0.658334
8900    0.660364
9000    0.662395

*************************************************************************

*************************************************************************
for DEta_Opti/ ===>>>>> NoDEta
*************************************************************************

Mass    Eff
500    0.266273
600    0.328569
700    0.390865
800    0.453161
900    0.515457
1000    0.577752
1100    0.590682
1200    0.603612
1300    0.616542
1400    0.629472
1500    0.642401
1600    0.655331
1700    0.668261
1800    0.681191
1900    0.69412
2000    0.70705
2100    0.710077
2200    0.713104
2300    0.716131
2400    0.719157
2500    0.722184
2600    0.725211
2700    0.728238
2800    0.731265
2900    0.734292
3000    0.737318
3100    0.737954
3200    0.73859
3300    0.739226
3400    0.739862
3500    0.740498
3600    0.741134
3700    0.74177
3800    0.742406
3900    0.743042
4000    0.743678
4100    0.744059
4200    0.74444
4300    0.744821
4400    0.745201
4500    0.745582
4600    0.745963
4700    0.746344
4800    0.746725
4900    0.747106
5000    0.747486
5100    0.746026
5200    0.744565
5300    0.743104
5400    0.741643
5500    0.740183
5600    0.738722
5700    0.737261
5800    0.7358
5900    0.73434
6000    0.732879
6100    0.729775
6200    0.726671
6300    0.723567
6400    0.720463
6500    0.717359
6600    0.714255
6700    0.711151
6800    0.708047
6900    0.704943
7000    0.701839
7100    0.700312
7200    0.698784
7300    0.697256
7400    0.695728
7500    0.694201
7600    0.692673
7700    0.691145
7800    0.689618
7900    0.68809
8000    0.686562
8100    0.688566
8200    0.690571
8300    0.692575
8400    0.69458
8500    0.696584
8600    0.698589
8700    0.700593
8800    0.702598
8900    0.704602
9000    0.706607

*************************************************************************

