#   Bstar cross-section for 13 TeV for f = 1.0
#   (GeV)    (pb)
Mass   Bstar_f1p0 Bstar_f1p0_Eff 
1000   2.148e-01 	 0.215564 
1100   1.286e-01 	 0.208115 
1200   7.982e-02 	 0.200667 
1300   5.043e-02 	 0.193218 
1400   3.314e-02 	 0.18577  
1500   2.204e-02 	 0.178322 
1600   1.501e-02 	 0.171578 
1700   1.026e-02 	 0.164834 
1800   7.191e-03 	 0.158091 
1900   5.034e-03 	 0.151347 
2000   3.585e-03 	 0.144604 
2100   2.592e-03 	 0.1396   
2200   1.865e-03 	 0.134597 
2300   1.366e-03 	 0.129594 
2400   1.000e-03 	 0.124591 
2500   7.488e-04 	 0.119587 
2600   5.524e-04 	 0.117055 
2700   4.116e-04 	 0.114523 
2800   3.058e-04 	 0.111991 
2900   2.337e-04 	 0.109459 
3000   1.766e-04 	 0.106927 
3100   1.326e-04 	 0.104736 
3200   1.013e-04 	 0.102545 
3300   7.705e-05 	 0.100354 
3400   5.879e-05 	 0.0981626
3500   4.517e-05 	 0.0959716
3600   3.442e-05 	 0.0951635
3700   2.646e-05 	 0.0943553
3800   2.011e-05 	 0.0935472
3900   1.566e-05 	 0.0927391
4000   1.202e-05 	 0.0919309
4100   9.259e-06 	 0.0921395
4200   7.101e-06 	 0.092348 
4300   5.442e-06 	 0.0925565
4400   4.238e-06 	 0.092765 
4500   3.289e-06 	 0.0929736
4600   2.545e-06 	 0.0927648
4700   1.974e-06 	 0.092556 
4800   1.528e-06 	 0.0923473
4900   1.182e-06 	 0.0921385
5000   9.216e-07         0.0919298
